TIMESTAMP,Hour,Min,AM_PM,Hour_24,Weekday,ACTUAL_DELIVERY_MINUTES - ESTIMATED_DELIVERY_MINUTES,ITEM_COUNT,USER_LAT,USER_LONG,VENUE_LAT,VENUE_LONG,ESTIMATED_DELIVERY_MINUTES,ACTUAL_DELIVERY_MINUTES,CLOUD_COVERAGE,TEMPERATURE,WIND_SPEED,PRECIPITATION
2020-08-01,6,7,AM,6,6,-19,1,60.158,24.946,60.16,24.946,29,10,0,15,3.53644,0
2020-08-01,6,17,AM,6,6,-7,8,60.163,24.927,60.153,24.91,39,32,0,15,3.53644,0
2020-08-01,6,54,AM,6,6,-17,4,60.161,24.937,60.162,24.939,23,6,0,15,3.53644,0
2020-08-01,7,9,AM,7,6,-2,3,60.185,24.954,60.19,24.911,28,26,0,16.7,3.52267,0
2020-08-01,7,10,AM,7,6,-1,2,60.182,24.955,60.178,24.949,27,26,0,16.7,3.52267,0
2020-08-01,7,20,AM,7,6,-3,2,60.173,24.953,60.178,24.949,18,15,0,16.7,3.52267,0
2020-08-01,7,33,AM,7,6,11,2,60.188,24.956,60.178,24.949,24,35,0,16.7,3.52267,0
2020-08-01,7,44,AM,7,6,1,2,60.199,24.957,60.198,24.932,31,32,0,16.7,3.52267,0
2020-08-01,7,59,AM,7,6,0,1,60.182,24.955,60.178,24.949,24,24,0,16.7,3.52267,0
2020-08-01,8,6,AM,8,6,6,4,60.189,24.964,60.165,24.929,36,42,25,17.8,3.35088,0
2020-08-01,8,10,AM,8,6,4,1,60.154,24.949,60.168,24.938,37,41,25,17.8,3.35088,0
2020-08-01,8,10,AM,8,6,-6,3,60.196,24.922,60.198,24.929,32,26,25,17.8,3.35088,0
2020-08-01,8,12,AM,8,6,-11,3,60.178,24.924,60.168,24.93,27,16,25,17.8,3.35088,0
2020-08-01,8,20,AM,8,6,10,7,60.186,24.922,60.178,24.925,25,35,25,17.8,3.35088,0
2020-08-01,8,20,AM,8,6,0,2,60.183,24.923,60.18,24.927,27,27,25,17.8,3.35088,0
2020-08-01,8,24,AM,8,6,-7,3,60.177,24.928,60.168,24.939,35,28,25,17.8,3.35088,0
2020-08-01,8,25,AM,8,6,-3,1,60.183,24.963,60.194,24.956,23,20,25,17.8,3.35088,0
2020-08-01,8,26,AM,8,6,0,6,60.162,24.937,60.16,24.946,22,22,25,17.8,3.35088,0
2020-08-01,8,33,AM,8,6,6,9,60.159,24.939,60.169,24.938,31,37,25,17.8,3.35088,0
2020-08-01,8,33,AM,8,6,-1,3,60.186,24.918,60.189,24.917,20,19,25,17.8,3.35088,0
2020-08-01,8,39,AM,8,6,-4,3,60.189,24.914,60.19,24.911,26,22,25,17.8,3.35088,0
2020-08-01,8,40,AM,8,6,14,2,60.187,24.959,60.178,24.949,28,42,25,17.8,3.35088,0
2020-08-01,8,42,AM,8,6,-4,4,60.181,24.954,60.178,24.949,26,22,25,17.8,3.35088,0
2020-08-01,8,58,AM,8,6,-7,4,60.168,24.934,60.169,24.933,32,25,25,17.8,3.35088,0
2020-08-01,9,4,AM,9,6,1,1,60.173,24.922,60.19,24.911,31,32,0,17.8,3.29756,0
2020-08-01,9,6,AM,9,6,1,1,60.159,24.913,60.163,24.929,25,26,0,17.8,3.29756,0
2020-08-01,9,8,AM,9,6,-1,1,60.189,24.963,60.194,24.95,30,29,0,17.8,3.29756,0
